primaryTitle,authorName,contentType,status,tags,totalChapters,currentChapterNumber,currentChapterLabel,rating,priority,description,notes,rawImportedLine
How To Be A Demon lord: The Former Hero's Journey As A Demon Lord!,,Novel,Reading,,,249,,,,,,1.137. How To Be A Demon lord: The Former Hero's Journey As A Demon Lord! 249
How to fight,,Manga,Reading,,,79,78.1,8,,,,359. How to fight 78.1 (79) 💯
How To Live As A Writer In A Fantasy World,,Novel,Reading,,,148,,,,,,1.141. How To Live As A Writer In A Fantasy World 148
How to Survive at the Academy,,Novel,Reading,,,42,,,,,,1.120. How to Survive at the Academy 42
Hypnomancer,,Manhwa,Reading,h-manhwa,,26,,,,,,1.1.58 Hypnomancer 26
Hyulla's Race,,Manga,Completed,,117,117,,,,,,91.Hyulla's Race 57.2 (117) ✓
I Am a Great God,,Manga,Reading,,,48,47,,,,release_frequency=~7,102.I Am a Great God 47 (48) ~7
I Am a Hero,,Manga,Completed,,264,264,,,,,,123.I Am a Hero 264 ✓
I am Cultivation Bigshot,,Manga,Reading,,,115,,,,,,516. I am Cultivation Bigshot 115
I Am Fated Villain,,Novel,Reading,,,264,,,,,,1.96. I Am Fated Villain 264
I am Gao Fushai Villain,,Novel,Reading,,,213,,,,,,1.64. I am Gao Fushai Villain 213
I am Han Sanqian,,Manga,Reading,,,69,,,,,,487. I am Han Sanqian 69
I am Supreme Son in Law,,Manga,Reading,,,19,,,,,,482. I am Supreme Son in Law 19
I Am The Sorcerer King,,Manga,Reading,,,43,,,2,,,228.I Am The Sorcerer King 43 🌟 🌟
I am the Strongest Lord in Another World,,Manga,Reading,,,14,,,,,,414. I am the Strongest Lord in Another World 14
I Arrived at Oni-san's Place,,Manga,Reading,,,10,,,1,,,147.I Arrived at Oni-san's Place 10 ~? 🌟
I Became a System,,Manga,Reading,,,60,,,,,,469. I Became a System 60
I Became First Prince,,Novel,Reading,,,288,,,,,,1.111. I Became First Prince 288
I Became The Academy Necromancer,,Novel,Reading,,,114,,,,,,1.184. I Became The Academy Necromancer 114
I Became The Academy’s Blind Swordsman,,Novel,Reading,,,193,,,,,,1.146. I Became The Academy’s Blind Swordsman 193
I Became the Academy’s Kibitz Villain,,Novel,Reading,,,158,,,,,,1.165. I Became the Academy’s Kibitz Villain 158
I Became the Empress's Personal Guard,,Novel,Reading,,,109,,,,,,1.190. I Became the Empress's Personal Guard 109
I Became the Master of the Empress,,Novel,Reading,,,90,,,,,,1.157. I Became the Master of the Empress 90
I Became the Narrow-Eyed Character in the Little Prince Game,,Novel,Reading,,,68,,,,,,1.188. I Became the Narrow-Eyed Character in the Little Prince Game 68
I Became the Villain of a Romance Fantasy,,Novel,Reading,,,53,,,,,,1.148. I Became the Villain of a Romance Fantasy 53
I Became The Villain The Hero Is Obsessed With,,Novel,Reading,,,174,,,,,,1.139. I Became The Villain The Hero Is Obsessed With 174
I Become Immortal,,Manga,Reading,,,43,,,,,,450. I Become Immortal 43
I Brought Home A Succubus Who Failed to Find a Job,,Manga,Reading,,,31,,,,,,337.  I Brought Home A Succubus Who Failed to Find a Job 31
I Built a Lifespan Club,,Manga,Reading,,,52,,,,,,503. I Built a Lifespan Club 52
I Fell into the Game with Instant Kill,,Novel,Reading,,,154,,,,,,1.142. I Fell into the Game with Instant Kill 154
I Have a Mansion in the Post-apocalyptic World,,Novel,Reading,,,819,,,,,release_frequency=~3,1.7.I Have a Mansion in the Post-apocalyptic World 819 ~3
I Have a Mansion in the Post-apocalyptic World,,Manga,Reading,,,181,,,2,,release_frequency=~3,282.I Have a Mansion in the Post-apocalyptic World 181 ~3 🌟 🌟
I Have An Apocalyptic Dungeon,,Manga,Reading,,,54,,,,,,380. I Have An Apocalyptic Dungeon 54
I have Nine Female Disciples,,Manga,Reading,,,95,,,,,,313. I have Nine Female Disciples 95
I Have Refined Qi for3000 years,,Novel,Reading,,,178,v8c24,,,,,1.101. I Have Refined Qi for3000 years v8c24 (178)
I Have Twin Girlfriends,,Manga,Reading,,,60,,,,,,430.  I Have Twin Girlfriends 60
I Kidnapped the Hero’s Women,,Novel,Reading,,,144,,,,,,1.189. I Kidnapped the Hero’s Women 144
I Killed the Player Of the Academy,,Novel,Reading,,,69,,,,,,1.127. I Killed the Player Of the Academy 69
I Obtained a Mythic Item,,Manga,Reading,,,102,,,,,,519. I Obtained a Mythic Item 102
I Picked Up A Demon Lord As A Maid,,Manga,Reading,,,45,,,,,,360. I Picked Up A Demon Lord As A Maid 45
I Picked Up An Attribute,,Manga,Reading,,,116,,,,,,390. I Picked Up An Attribute 116
I Raised an Obsessive Servant,,Novel,Reading,,,16,,,,,,1.30. I Raised an Obsessive Servant 16
I Reincarnated As The Crazed Heir,,Manga,Reading,,,25,,,,,,512. I Reincarnated As The Crazed Heir 25
I Shaved. Then I Brought A High School Girl Home,,Manga,Reading,,,31,,,,,,421. I Shaved. Then I Brought A High School Girl Home 31
I Started As Novel Villain,,Novel,Reading,,,184,,,,,,1.94. I Started As Novel Villain 184
I Want Your Mother to Be with Me!,,Manga,Reading,,,28,,,1,,,415. I Want Your Mother to Be with Me! 28 ⭐
I Was Mistakend As A Monstrous Genius Actor,,Novel,Reading,,,191,,,,,,1.180. I Was Mistakend As A Monstrous Genius Actor 191
I was Stuck on the Same Day for One Hundred Thousand Years,,Manga,Reading,,,34,,,1,,,383. I was Stuck on the Same Day for One Hundred Thousand Years 34 ⭐
I was trash,,Manga,Reading,,,40,,,1,,,28.I was trash 40 🌟
I Won’t Get Bullied By Girls,,Manga,Reading,,,18,18.1,,,,,354. I Won’t Get Bullied By Girls 18.1 (18)
I'll Quit Being a God,,Novel,Reading,,,485,,,,,,1.174. I'll Quit Being a God 485
I'm an Evil God,,Manga,Reading,,,135,,8,1,,,323. I'm an Evil God 135 ⭐ 💯
"I'm an S-Rank 'Behemoth' Monster, but I'm Living as a Pet of an Elf Girl",,Manga,Reading,,,14,,,1,,release_frequency=~33,"169.I'm an S-Rank 'Behemoth' Monster, but I'm Living as a Pet of an Elf Girl 14 ~33 🌟"
I'm Destined for Greatness!,,Manga,Reading,,,40,,,,,,458. I'm Destined for Greatness! 40
