primaryTitle,authorName,contentType,status,tags,totalChapters,currentChapterNumber,currentChapterLabel,rating,priority,description,notes,rawImportedLine
Senryu Girl,,Manga,Reading,,,97,94,,,,,27.Senryu Girl 94 (97)
Sex and Dungeon,,Manga,Reading,,,23,,,,,,499. Sex and Dungeon 23
Sex exercise,,Manhwa,Reading,h-manhwa,,77,,8,,,,1.1.50 Sex exercise 77 💯
Shadow Monarch: Heroines Could Hear My Thoughts?!,,Novel,Reading,,,192,,,,,,1.134. Shadow Monarch: Heroines Could Hear My Thoughts?! 192
Shadow Slave,,Novel,Reading,,,1669,,,,,,1.182. Shadow Slave 1669
She is working out,,Manhwa,Reading,h-manhwa,,20,,,,,,1.1.66 She is working out 20
Shingan no Yuusha,,Manga,Reading,,,21,20,,,,release_frequency=~31,137.Shingan no Yuusha 20 (21) ~31
Shinju no Nectar,,Manga,Reading,,,31,30.5,,,,release_frequency=~30,162.Shinju no Nectar 30.5 (31) ~30
Shinjuku DxD,,Manga,Reading,,,41,,,,,chyba autor porzucil,
Shishunki no Iron Maiden,,Manga,Completed,,41,41,,,,,,177.Shishunki no Iron Maiden 41 ✓
Shoujo Grand Summoning,,Novel,Reading,,,938,,8,1,,,1.56. Shoujo Grand Summoning 938 💯⭐
Should I Study at Noryangjin?,,Manhwa,Reading,h-manhwa,,56,,,,,,1.1.62 Should I Study at Noryangjin? 56
Shura's Wrath,,Novel,Completed,,,850,,9,,,,1.25.Shura's Wrath 850 ✓ 💯 💯
Siblings,,Manhwa,Reading,h-manhwa,,15,,4,,,ntr,1.1.27 Siblings 15 💩 (ntr)
Siscon Ani to Brocon Imouto ga Shoujiki ni Nattara,,Manga,Reading,,,67,30.1,,,,,52.Siscon Ani to Brocon Imouto ga Shoujiki ni Nattara 30.1 (67)
Skeleton Soldier Couldn't Protect the Dungeon,,Manga,Reading,,,66,,,1,,release_frequency=~6,171.Skeleton Soldier Couldn't Protect the Dungeon 66 ~6 🌟
Skill of Lure,,Manga,Completed,,45,45,,,,,,204.Skill of Lure 36 (45) ✓
Skill Unparalleled,,Manga,Reading,,,25,,,,,,268.Skill Unparalleled 25 ~?
Skirt Chasing Young Monarch: City Lady-Killer,,Novel,Reading,,,215,,,,,,1.29.Skirt Chasing Young Monarch: City Lady-Killer 215
Slave B,,Manga,Reading,,,48,,,,,,470. Slave B 48
Slow Life Frontier,,Manga,Reading,,,7,4,,,,release_frequency=~35,130.Slow Life Frontier 4 (7) ~35
"So Pure, So Flirtatious",,Manga,Reading,,,157,,,,,release_frequency=~7,"29.So Pure, So Flirtatious 157 ~7"
"So Pure,So Flirtatious",,Novel,Reading,,,1401,,,,,,"1.26.So Pure,So Flirtatious 1401"
"Sokushi Cheat ga Saikyou Sugite, Isekai no Yatsura ga Marude Aite niNaranai n desu ga, Instant Death",,Manga,Reading,,,12,,,,,release_frequency=~36,"136.Sokushi Cheat ga Saikyou Sugite, Isekai no Yatsura ga Marude Aite niNaranai n desu ga, Instant Death 12 ~36"
Solo leveling,,Manga,Reading,,,88,,8,3,,,4.Solo leveling 88 🌟🌟🌟 💯
Son of the Hero King,,Novel,Reading,,,417,383,,,,,1.115. Son of the Hero King  383 (417)
Son-In-Law Above Them All,,Manga,Reading,,,60,,,,,,374. Son-In-Law Above Them All 60
Song of the Cloud,,Manga,Completed,,67,67,,8,,,,207.Song of the Cloud 56 (67) ✓ 💯
Sono Bisque Doll wa Koi wo suru,,Manga,Reading,,,60,,,1,,release_frequency=~30,85.Sono Bisque Doll wa Koi wo suru 60 ~30 🌟
Soredemo Ayumu was Yosetekuro,,Manga,Reading,,,22,21,,,,release_frequency=~8,211.Soredemo Ayumu was Yosetekuro 21 (22) ~8
Special Martial Arts Extreme Hell Private High School,,Manga,Reading,,,73,69,,,,,218.Special Martial Arts Extreme Hell Private High School 69 (73) ~?
Spicy female Boss,,Manga,Completed,,80,80,,,,,,314. Spicy female Boss 80 ✓
Spirit Farmer,,Manga,Reading,,,49,,,,,,346. Spirit Farmer 49
Spirit sword sovereign,,Manga,Reading,,,84,,,,,,6.Spirit sword sovereign 84
Springtime for Blossom,,Manga,Reading,,,13,,,1,,release_frequency=~7,237.Springtime for Blossom 13 ~7 🌟
Spy X Family,,Manga,Reading,,,57,,,,,,502. Spy X Family 57
Sss-class Suicide Hunter,,Manga,Reading,,,57,,8,1,,,488. Sss-class Suicide Hunter 57 ⭐💯
SSS-Class Suicide Hunter,,Novel,Reading,,,172,,10,,,,1.67. SSS-Class Suicide Hunter 172 💯 💯 💯
"Star Instructor, Master Baek",,Manga,Reading,,,99,,,,,,"520. Star Instructor, Master Baek 99"
"Start a Ship, Pick up Corpses and Be the Queen of the Dead",,Novel,Reading,,,231,,,,,zaczęli losowo zdania dawać,"1.107. Start a Ship, Pick up Corpses and Be the Queen of the Dead 231 (zaczęli losowo zdania dawać)"
Starting From Today I'll Work As A City Lord,,Manga,Reading,,,298,,8,,,,363. Starting From Today I'll Work As A City Lord 298 💯
Stepmother's friends,,Manhwa,Reading,h-manhwa,,61,,8,2,,no ntr atm,1.1.14 Stepmother's friends 61 💯 🌟⭐ (no ntr atm)
"Stop Hypnotizing Me, Villainous Princess!",,Novel,Reading,,,328,211,,,,,"1.196. Stop Hypnotizing Me, Villainous Princess! 328 (211)"
Story of thorny spear,,Manga,Reading,,,49,,8,2,,,449. Story of thorny spear 49 💯 ⭐ ⭐
Strategic Lovers,,Manga,Reading,,,8,,,,,,429.  Strategic Lovers 8
Strongest Abandoned Son,,Manga,Reading,,,86,,,,,,478. Strongest Abandoned Son 86
Strongest Worker,,Manga,Reading,,,166,,,,,,317. Strongest Worker 166
Study Group,,Manga,Reading,,,104,,8,,,,321. Study Group 104 💯
Such a Cute Spy,,Manga,Completed,,40,40,,,,,,231.Such a Cute Spy 40 ✓
Suki x Suki,,Manga,Reading,,,25,23.5,,,,,43.Suki x Suki 23.5 (25)
Summer Time Render,,Manga,Reading,,,71,,,1,,,76.Summer Time Render 71 🌟
Super Soldier,,Novel,Reading,,,110,,,,,release_frequency=~1,1.11.Super Soldier 110 ~1
Survival Story Of A Sword King In A Fantasy World,,Manga,Reading,,,103,,,1,,,370. Survival Story Of A Sword King In A Fantasy World 103 ⭐
Surviving as a Mage in a Magic Academy,,Novel,Reading,,,217,,,,,,1.178. Surviving as a Mage in a Magic Academy 217
Surviving in Woman's world as a novel villain,,Novel,Reading,,,110,,,,,,1.136. Surviving in Woman's world as a novel villain 110
Swallowed Star,,Manga,Reading,,,120,,,,,,500. Swallowed Star 120
Sweet X Trouble,,Manga,Completed,,41,41,,,,,,103.Sweet X Trouble 41 ✓
Sweetheart : The Boss Is Too Kind!,,Manga,Reading,,,30,V5,,1,,,274.Sweetheart V5: The Boss Is Too Kind! 30 ~? 🌟
Sword God’s Life Is Not That Boring,,Manga,Reading,,,20,,,,,,425. Sword God’s Life Is Not That Boring 20
System vs Rebirth,,Novel,Reading,,,473,,,,,,1.114. System vs Rebirth 473
Taisho Otome Otogibanashi,,Manga,Completed,,43,43,,8,,,,227.Taisho Otome Otogibanashi 38.2 (43) ✓ 💯
Takane & Hana,,Manga,Reading,,,53,49,,,,,226.Takane & Hana 49 (53) ~?
Takarakuji de 40-oku Atattandakedo Isekai ni Ijuu Suru,,Manga,Reading,,,25,21,,,,,44.Takarakuji de 40-oku Atattandakedo Isekai ni Ijuu Suru 21 (25)
Taking The Mafia To The Magic World,,Novel,Reading,,,900,,,,,,1.185. Taking The Mafia To The Magic World 900
Tales of eun aran,,Manga,Reading,,,85,,,1,,,22.Tales of eun aran 85 🌟
Tales of Wedding Rings,,Manga,Reading,,,49,46.5,,,,release_frequency=~43,116.Tales of Wedding Rings 46.5 (49) ~43
Taming a Maid,,Manhwa,Completed,h-manhwa,44,44,,3,,,ntr z wyboru,1.1.3Taming a Maid  44 ✓💩💩 (ntr z wyboru)
Taming Master,,Manga,Reading,,,60,,,1,,,455. Taming Master 60 ⭐
Taming The Villainesses,,Novel,Reading,,,264,132.2,,,,,1.144. Taming The Villainesses 132.2 (264)
Tanaka The Wizard,,Manga,Completed,,,22,,,,,chyba skonczone,138.Tanaka The Wizard 22 ✓?
Teach Me How To Please You,,Manhwa,Completed,h-manhwa,25,25,,,,,"hard to tell if counts as ntr,but let's say ntr","1.1.28 Teach Me How To Please You 25 ✓ (hard to tell if counts as ntr,but let's say ntr)"
Teach the Devil Husband,,Manga,Reading,,,41,,,,,release_frequency=~9,255.Teach the Devil Husband 41 ~9
Temple of the Dragon King,,Manga,Reading,,,65,,,,,,297. Temple of the Dragon King 65
Ten Thousand Paths to Becoming a God,,Manga,Reading,,,19,,,,,release_frequency=~8,104.Ten Thousand Paths to Becoming a God 19 ~8
Terror man,,Manga,Completed,,,209,,10,2,,idk,3.Terror man 209  ✓ (idk) 🌟🌟💯 💯💯
That Girl Is Cute... But Dangerous?,,Manga,Reading,,,7,,,,,,419. That Girl Is Cute... But Dangerous? 7
That Girl Is Not Just Cute,,Manga,Reading,,,26,24,,,,release_frequency=~8,210.That Girl Is Not Just Cute 24 (26) ~8
The Academy's Weapon Replicator,,Novel,Reading,,,326,,,,,,1.186. The Academy's Weapon Replicator 326
The Academy’s Weakest Became A Demon-Limited Hunter,,Novel,Reading,,,284,,,,,,1.194. The Academy’s Weakest Became A Demon-Limited Hunter 284
The All-Devouring Whale,,Manga,Reading,,,73,,,,,,386. The All-Devouring Whale 73
The Apothecary Is Gonna Make This Ragged Elf Happy,,Manga,Reading,,,37,,,,,,510. The Apothecary Is Gonna Make This Ragged Elf Happy 37
The Beginning After The End,,Manga,Reading,,,92,,,2,,,289.The Beginning After The End 92 🌟 🌟
The Book Eating Magician,,Manga,Reading,,,39,,,,,,501. The Book Eating Magician 39
The Book of Lagier,,Manga,Reading,,,30,,,,,,451. The Book of Lagier 30
The Bored Immortal,,Novel,Reading,,,537,,,1,,,1.130. The Bored Immortal 537 ⭐
The Boy in the All-Girls School,,Manga,Reading,,,177,,,,,release_frequency=~2,98.The Boy in the All-Girls School 177 ~2
The Boy of Death,,Manga,Reading,,,50,,,,,,486. The Boy of Death 50
The Cannon Fodder Turns His Sister Into A Soaring Phoenix,,Novel,Completed,,,568,,8,,,,1.200. The Cannon Fodder Turns His Sister Into A Soaring Phoenix 568 ✓ 💯
The Constellation That Returned From Hell,,Manga,Reading,,,20,,,,,,345. The Constellation That Returned From Hell 20
"The Cursed Sword Master’s Harem Life: By the Sword, For the Sword, Cursed Sword Master",,Manga,Reading,,,16,15.5,,,,,"412. The Cursed Sword Master’s Harem Life: By the Sword, For the Sword, Cursed Sword Master 15.5 (16)"
The Damned Demon,,Novel,Reading,,,196,,,,,,1.131. The Damned Demon 196
The Demon King Who Lost His Job,,Manga,Reading,,,306,,,2,,,331. The Demon King Who Lost His Job 306 ⭐⭐
The Demon Leader Quickly Lie Down,,Manga,Completed,,,38,,,,,chyba skonczone,38.The Demon Leader Quickly Lie Down 38 ✓?
The Demon Prince Goes To The Academy,,Novel,Reading,,,703,,8,,,,1.183. The Demon Prince Goes To The Academy 703 💯
The Descent of the Demonic Master,,Manga,Reading,,,140,,,2,,,457. The Descent of the Demonic Master 140  ⭐ ⭐
The Desire To Kill,,Manhwa,Reading,h-manhwa,,32,,,1,,,1.1.25 The Desire To Kill 32 Star 🌟
The Devil Does Not Need to Be Defeated,,Novel,Completed,,,1039,,,,,,1.102. The Devil Does Not Need to Be Defeated 1039 ✓
The Duke of Death and his Black Maid,,Manga,Reading,,,91,79,,1,,,51.The Duke of Death and his Black Maid 79 (91) 🌟
The Dungeon Master,,Manga,Reading,,,84,,,,,,366. The Dungeon Master 84
The Empress's Gigolo,,Novel,Reading,,,950,,10,,,,1.43. The Empress's Gigolo 950 💯 💯 💯
The Fiancées Live Together,,Manga,Completed,,73,73,,,,,chyba skonczone,95.The Fiancées Live Together 72.5 (73) ✓?
The First Ancestor in History,,Manga,Reading,,,65,,,,,,464. The First Ancestor in History 65
The first Son-In-Law Vanguard of All Time,,Manga,Reading,,,166,,,,,,461. The first Son-In-Law Vanguard of All Time 166
"The Former Hero was Called as a Failure and Expelled From His Home, Decided to Live on His Own",,Manga,Reading,,,7,5.1,,,,,"351. The Former Hero was Called as a Failure and Expelled From His Home, Decided to Live on His Own 5.1 (7)"
The Freed S*aves Became Obsessed,,Novel,Reading,,,123,,,,,,1.201. The Freed S*aves Became Obsessed 123
The Girl from Random Chatting,,Manga,Reading,,,89,,,1,,,233.The Girl from Random Chatting 89 ~? 🌟
The Girl That Wet the Wall,,Manhwa,Reading,h-manhwa,,10,,,,,,1.1.2The Girl That Wet the Wall 10
The Girls' Nest,,Manhwa,Reading,h-manhwa,,18,,,,,,1.1.18 The Girls' Nest 18
The Giving Girl,,Manhwa,Reading,h-manhwa,,40,,,,,,1.1.57 The Giving Girl 40
The God of Death,,Manga,Reading,,,69,,,,,,327. The God of Death 69
The Great Deity,,Manga,Reading,,,257,,,1,,,452. The Great Deity 257 ⭐
The Great Devil Emperor Development System,,Manga,Reading,,,86,,,,,,446. The Great Devil Emperor Development System 86
The Great Mage Returns After 4000years,,Manga,Reading,,,85,,,,,,328. The Great Mage Returns After 4000years 85
The Heavenly Demon Can’t Live a Normal Life,,Manga,Reading,,,18,,,,,,411. The Heavenly Demon Can’t Live a Normal Life 18
The Hero And The Demon King's Romcom,,Manga,Reading,,,34,,,,,,382. The Hero And The Demon King's Romcom 34
The Imbecile Lord Is Married to Five Beautiful Goddess,,Novel,Reading,,,544,,,,,,1.129. The Imbecile Lord Is Married to Five Beautiful Goddess 544
The Immortal Emperor,,Manga,Reading,,,75,,,,,,372. The Immortal Emperor 75
The Incubus System,,Novel,Reading,,,342,,,,,,1.85. The Incubus System 342
The Irregular of the Royal Academy of Magic ~The Strongest Sorcerer From the Slums is Unrivaled in the School of Royals,,Manga,Reading,,,28,,,,,,406. The Irregular of the Royal Academy of Magic ~The Strongest Sorcerer From the Slums is Unrivaled in the School of Royals  28
The King Of The Underworld is Tired,,Novel,Reading,,,123,,,,,,1.193. The King Of The Underworld is Tired 123
The Kingdoms of Ruin,,Manga,Reading,,,20,,,,,,445. The Kingdoms of Ruin 20
The Knight King Who Returned with a God,,Manga,Reading,,,25,,,,,,521. The Knight King Who Returned with a God 25
The lady and her Butler,,Manga,Reading,,,85,,,1,,,15.The lady and her Butler 85 🌟
The Legend of Maian,,Manga,Unknown,,,75,,3,,,"chyba autor porzucil
cringe plot,ntr, wkurwiajace","263.The Legend of Maian 75 ✓❌ 💩 💩 (cringe plot,ntr, wkurwiajace)"
The Legendarny Mortal ShO,,Manga,Reading,,,23,,,,,,236.The Legendarny Mortal ShO 23 ~?
The Legendary Hero Is Dead!,,Manga,Reading,,,172,162,,,,release_frequency=~16,128.The Legendary Hero Is Dead! 162 (172) ~16
The Legendary Moonlight Sculptor,,Manga,Completed,,,118,,,,,chyba skonczone,167.The Legendary Moonlight Sculptor 118 ✓?
The Long Way of the Warrior,,Manga,Reading,,,45,,,,,,462. The Long Way of the Warrior 45
The Lord of Money,,Manga,Reading,,,60,,,,,,426. The Lord of Money 60
The Main Character is the Villain,,Manhwa,Reading,h-manhwa,,33,,,,,,1.1.55 The Main Character is the Villain 33
The Main Heroines are Trying to Kill Me,,Novel,Reading,,,28,,,,,,1.92. The Main Heroines are Trying to Kill Me 28
The Man from Hell,,Novel,Reading,,,266,,,,,,1.39.The Man from Hell 266
The Marquis Eldest Son's Laviscious Story,,Novel,Reading,,,74,,,,,,1.48. The Marquis Eldest Son's Laviscious Story 74
The Max Level Hero has Returned!,,Manga,Reading,,,68,,,,,,448. The Max Level Hero has Returned! 68
The Mob Boss’S Daughter And Her Caretaker,,Manga,Reading,,,8,,,,,,352.  The Mob Boss’S Daughter And Her Caretaker 8
The Narrow-Eyed Villain of the Demon Academy,,Novel,Reading,,,261,,,,,,1.198. The Narrow-Eyed Villain of the Demon Academy 261
The OutCast,,Manga,Reading,,,73,,,1,,,192.The OutCast 73 ~? 🌟
The Pleasure Lord,,Novel,Reading,,,173,,,,,,1.36. The Pleasure Lord 173
The Priest of Corruption,,Manga,Reading,,,50,,,,,,522. The Priest of Corruption 50
The Queen Is Mighty,,Manga,Reading,,80,41,,,,,,326. The Queen Is Mighty 41 (80)
The Quintessential Quintuplets,,Manga,Reading,,,71,,,,,,59.The Quintessential Quintuplets 71
The Rebirth Of The Demon God,,Manga,Reading,,,86,,,,,,316. The Rebirth Of The Demon God 86
The Regressed Demon Lord is Kind,,Novel,Reading,,,382,,,,,,1.88. The Regressed Demon Lord is Kind 382
The Regressed Mercenary's Machinations,,Novel,Reading,,,319,,,,,,1.192. The Regressed Mercenary's Machinations 319
The Regressor and the Blind Saintess,,Novel,Reading,,,85,,8,1,,,1.125. The Regressor and the Blind Saintess 85  💯 ⭐
The Reincarnated Assassin Is A Genius Swordsman,,Novel,Reading,,,597,,,,,,1.191. The Reincarnated Assassin Is A Genius Swordsman 597
The Reincarnated Villain makes the Heroines tearfully beg for Forgiveness,,Novel,Reading,,,232,,,,,,1.160. The Reincarnated Villain makes the Heroines tearfully beg for Forgiveness 232
The Return of Disaster class hero,,Novel,Completed,,496,496,b2e9,,,,chyba skonczone,1.154. The Return of Disaster class hero b2e9 (496) ✓?
The Return of the Crazy Demon,,Manga,Reading,,,14,,,2,,,413. The Return of the Crazy Demon 14 ⭐⭐
The Rise of the Perverted Immortal,,Novel,Reading,,,106,,,,,,1.151. The Rise of the Perverted Immortal 106
The Rise of the Unemployed Wise Man,,Manga,Reading,,,43,,,,,,420. The Rise of the Unemployed Wise Man 43
The Road of Karma,,Manga,Unknown,,,40,,,2,,"chyba autor porzucil
mozliwy hiatus",230.The Road of Karma 40 ✓❌(mozliwy hiatus) 🌟 🌟
The Second Coming of Gluttony,,Novel,Completed,,,505,,,,,,1.59. The Second Coming of Gluttony 505 ✓
The Sexy Master is Not an Idiot!,,Manga,Reading,,,52,,,,,,283.The Sexy Master is Not an Idiot! 52 ~?
The Sinful Life of The Emperor,,Novel,Reading,,,472,,,,,,1.42. The Sinful Life of The Emperor 472
The Special Agent With Negative EQ Reincarnated As A Student And Became Popular With The Ladies?!,,Manga,Reading,,,43,,,,,,441. The Special Agent With Negative EQ Reincarnated As A Student And Became Popular With The Ladies?! 43
The Sponsored Heroines Are Coming for Me,,Novel,Reading,,,63,,,,,,1.166. The Sponsored Heroines Are Coming for Me 63
The Spot Master,,Manhwa,Completed,h-manhwa,60,60,,8,,,,1.1.12 The Spot Master 60 ✓ 💯
The Stand-up Day,,Manhwa,Reading,h-manhwa,,49,,,,,,1.1.13 The Stand-up Day 49
The Story Of An Engaged Couple That Doesn't Get Along,,Manga,Reading,,,29,,,,,,438. The Story Of An Engaged Couple That Doesn't Get Along 29
The Story of an Onee-San Who Wants to Keep a High School Boy,,Manga,Reading,,,244,,,,,,50.The Story of an Onee-San Who Wants to Keep a High School Boy  244
The Strong Man from the Mental Hospital,,Manga,Reading,,,28,,,,,,494. The Strong Man from the Mental Hospital 28
The Strongest Ever,,Manga,Reading,,,21,,,,,,324. The Strongest Ever 21
The Strongest God King,,Manga,Reading,,,115,,,,,,299. The Strongest God King 115
The Strongest Golden Kidney System,,Manga,Reading,,,105,,,,,,362. The Strongest Golden Kidney System 105
The Strongest War God,,Manga,Reading,,,71,,,1,,,284.The Strongest War God 71 ~? 🌟
The Super Doctor From2089,,Manga,Reading,,,218,,,,,,387. The Super Doctor From2089 218
The Superb Captain in the City,,Manga,Reading,,,73,,,2,,release_frequency=~7,276.The Superb Captain in the City 73 ~7 🌟 🌟
The Teacher Can Not Tell Me Love,,Manga,Reading,,,14,,8,2,,,146.The Teacher Can Not Tell Me Love 14 ~? 🌟 🌟 💯
The Teacher of Perishable Villains,,Manga,Reading,,,24,,,,,,505. The Teacher of Perishable Villains 24
The Thorn That Pierces Me,,Manga,Reading,,,13,,,,,,338. The Thorn That Pierces Me 13
The Timid Succubus and Her Handsome Meal,,Manhwa,Reading,h-manhwa,,8,,,,,,1.1.29 The Timid Succubus and Her Handsome Meal 8
The Tutorial Tower's Advanced Player,,Manga,Reading,,,54,,,1,,,340. The Tutorial Tower's Advanced Player 54 ⭐
The V Squad,,Manga,Reading,,,37,,,2,,,240.The V Squad 37 ~? 🌟 🌟
The Villain marries supporting characters,,Novel,Reading,,,26,,,,,,1.161. The Villain marries supporting characters 26
The Villain Who Robbed the Heroines,,Novel,Reading,,,81,,,1,,,1.126. The Villain Who Robbed the Heroines 81 ⭐
The Villainous Daughter’s Butler ~I Raised Her to be Very Cute~,,Novel,Reading,,,80,v3c8,,,,,1.68.  The Villainous Daughter’s Butler ~I Raised Her to be Very Cute~ v3c8 (80)
The Villainous Young Lady Cries in Frustration: I Told You Not to Provoke the Protagonist,,Novel,Reading,,,254,,,,,,1.203. The Villainous Young Lady Cries in Frustration: I Told You Not to Provoke the Protagonist 254
The Witch Hunter System,,Novel,Reading,,,774,,,,,,1.181. The Witch Hunter System 774
The World Of Otome Games Is Tough For Mobs,,Manga,Reading,,,35,,,1,,,439.  The World Of Otome Games Is Tough For Mobs 35 ⭐
The World Where I Belong,,Manga,Reading,,,51,,,1,,,229.The World Where I Belong 51 ~? 🌟
The Wrong Way to use Healing Magic,,Manga,Reading,,,23,22,,,,,183.The Wrong Way to use Healing Magic 22 (23) ~?
These Dangerous Girls Placed Me Into Jeopardy,,Novel,Reading,,,78,v2c63,,,,,1.100. These Dangerous Girls Placed Me Into Jeopardy v2c63 (78)
This Italian Girl Has Become Such A Freeloader,,Manga,Reading,,,44,,,,,,435. This Italian Girl Has Become Such A Freeloader 44
Thou Shalt Not Die,,Manga,Reading,,,20,21,,1,,,187.Thou Shalt Not Die 20 (21) ~? 🌟
Tian Jiang Xian Shu Nan,,Manga,Completed,,136,136,,3,,,"Mc kurwa,shit plot","243.Tian Jiang Xian Shu Nan 136 (136) ✓ 💩 💩 (Mc kurwa,shit plot)"
Tie Me Up,,Manhwa,Completed,h-manhwa,,53,,10,,,,1.1.35 Tie Me Up 53 ✓ 💯 💯💯
To Be a Power in the Shadows!,,Novel,Reading,,,133,,,,,,1.1.To Be a Power in the Shadows! 133
Today's Cerberus,,Manga,Completed,,68,68,,,,,,80.Today's Cerberus 56.5 (68) ✓
Toilet-Bound Hanako-kun,,Manga,Reading,,,54,53.2,,,,release_frequency=~10,64.Toilet-Bound Hanako-kun 53.2 (54) ~10
Tomb Raider King,,Manga,Reading,,,188,,,2,,,291.Tomb Raider King 188 ⭐ ⭐
Tonikaku Kawaii (Fly me to the moon),,Manga,Reading,,,62,59,,,,release_frequency=~9,65.Tonikaku Kawaii (Fly me to the moon) 59 (62) ~9
Top Quality Beauty Cultivation System,,Novel,Reading,,,70,,,,,,1.32.Top Quality Beauty Cultivation System 70
Touch on,,Manhwa,Completed,h-manhwa,114,114,,,1,,,1.1.43 Touch on 109.3 (114) ✓ ⭐
Traditional Job of Washing Girl's Body,,Manhwa,Reading,h-manhwa,,32,,,,,,1.1.1Traditional Job of Washing Girl's Body 32
Trample on the River of Immortality,,Manga,Reading,,,106,,,,,,397. Trample on the River of Immortality 106
"Transmigrated into the Villain, My Inner Thoughts Were Overheard by the Female Lead",,Novel,Completed,,,306,,,,,,"1.213. Transmigrated into the Villain, My Inner Thoughts Were Overheard by the Female Lead 306 ✓"
TranXending Vision,,Novel,Reading,,,730,,,,,,1.31. TranXending Vision 730
Trapped in a Webnovel as a Good-For-Nothing,,Manga,Reading,,,75,,,,,,504.  Trapped in a Webnovel as a Good-For-Nothing 75
"Treading on Fire, Yuwen Jun!",,Manga,Reading,,,80,79,,,,release_frequency=~3,"100.Treading on Fire, Yuwen Jun! 80 (79) ~3"
Trinity Seven: The Seven Magicians,,Manga,Reading,,,76,,,,,,30.Trinity Seven: The Seven Magicians 76
True Education,,Manga,Reading,,,59,,,,,,496. True Education 59
Tsui No Taimashi,,Manga,Reading,,,55,,,,,,479. Tsui No Taimashi 55
Tsuki ga Michibiku Isekai Douchuu,,Manga,Reading,,,66,,,,,,396. Tsuki ga Michibiku Isekai Douchuu 66
Two-Faced Teacher's Night Class,,Manga,Reading,,,10,,,,,,271.Two-Faced Teacher's Night Class 10 ~?
Tyranny of Steel,,Novel,Reading,,,741,,,,,kurwa autor już odlatuje z swoimi nazistowskimi poglądami i bs,1.118. Tyranny of Steel 741 ( kurwa autor już odlatuje z swoimi nazistowskimi poglądami i bs)
Uchi no Hentai Maid ni Osowareteru,,Manga,Reading,,,54,45.5,,1,,release_frequency=~4,122.Uchi no Hentai Maid ni Osowareteru 45.5 (54) ~4 🌟
Ultimate Abandoned,,Manga,Reading,,,40,,,,,,367. Ultimate Abandoned 40
Ultimate Legend - Kang Hae Hyo,,Manga,Reading,,,73,,,,,release_frequency=~66,69.Ultimate Legend - Kang Hae Hyo 73 ~66
Unbalance x3,,Manga,Reading,,,117,71.1,,,,release_frequency=~7,96.Unbalance x3 71.1 (117) ~7
Under Observation: My First Loves and I,,Manhwa,Reading,h-manhwa,,33,,,,,,1.1.4Under Observation: My First Loves and I 33
Underage Eve,,Manga,Reading,,,30,,,1,,,279.Underage Eve 30 ~? 🌟
Understanding of Flirting,,Manhwa,Reading,h-manhwa,,33,,,,,,1.1.54 Understanding of Flirting 33
Unlock 99Heroines in End Times,,Manga,Reading,,,56,,,,,,410. Unlock 99Heroines in End Times 56
unOrdinary,,Manga,Reading,,,137,,,,,,35.unOrdinary 137
unTouchable,,Manga,Completed,asdsa; dsadd; ta2; tafsadf; tag; tag123,,141,,10,1,asjsadjhdasjdhdjhasjsadjhdasjdhdjhasjsadjhdasjdhdjhasjsadjhdasjdhdjhasjsadjhdasjdhdjhasjsadjhdasjdhdjhasjsadjhdasjdhdjhasjsadjhdasjdhdjhasjsadjhdasjdhdjhasjsadjhdasjdhdjhasjsadjhdasjdhdjh,i bardzo duzo notatek tu jeezxdasdeasdsasadasd,
"Urami koi, koi, Urami koi",,Manga,Reading,,,50,,,,,,"21.Urami koi, koi, Urami koi 50"
Urban Banished Immortal,,Novel,Reading,,,166,1.11.19,,,,1.11.19,1.14.Urban Banished Immortal 166 (1.11.19)
Uzaki-chan wa Asobitai!,,Manga,Reading,,,40,32,,1,,release_frequency=~11,152.Uzaki-chan wa Asobitai! 32 (40) ~11 🌟
Valhalla Saga,,Novel,Completed,,,261,vE4,8,,,vE4,1.21. Valhalla Saga 261 (vE4) ✓ 💯
Vampir Lord: E* RPG,,Novel,Reading,,,50,,,,,,1.110. Vampir Lord: E* RPG 50
Vampire Freshman Caught by the Campus Female Demon Hunter,,Novel,Completed,,,282,,,,,,1.172. Vampire Freshman Caught by the Campus Female Demon Hunter 282 ✓
Vampire's Slice of Life,,Novel,Reading,,,333,,,,,"prawie nic nie dzieje, ale kiedyś wrócić","1.119. Vampire's Slice of Life 333 (prawie nic nie dzieje, ale kiedyś wrócić)"
Vicious Luck,,Manga,Reading,,,111,,,2,,,286.Vicious Luck 111 ~? 🌟 🌟
Villager A,,Novel,Reading,,,58,,,,,,1.71. Villager A 58
"Villain: Before I Died, I Forcibly Kissed the Heroine",,Novel,Reading,,,268,,,,,,"1.97. Villain: Before I Died, I Forcibly Kissed the Heroine 268"
"Villain: Marrying a Blind Fiancée, Crazy in Love",,Novel,Completed,,,456,,,1,,,"1.205. Villain: Marrying a Blind Fiancée, Crazy in Love 456 ⭐ ✓"
Villainess's Father,,Novel,Reading,,,54,,,,,,1.72. Villainess's Father 54
Villainous Young Master's Otherworldly Harem,,Novel,Reading,,,228,,,,,,1.123. Villainous Young Master's Otherworldly Harem 228
Villain’s Diary: Why Does It Feel Like You’re All Acting Against Me?,,Novel,Reading,,,480,,,,,,1.209. Villain’s Diary: Why Does It Feel Like You’re All Acting Against Me? 480
