primaryTitle;contentType;status;contentTypeId;statusId;authorId;authorName;alternativeTitles;genreIds;tags;totalChapters;currentChapterNumber;currentChapterLabel;rating;priority;description;comment;notes;rawImportedLine;links;genres
The Boy of Death;Manhwa;Reading;;;;Lyu;"[{""Title"":""Sasinsonyeon"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""사신소년"",""Language"":null,""Source"":""Anime-Planet""}]";;"Manhwa; Webtoons; Full Color";;50;;;;Lee Kyung Ho's mind was engulfed with ending his life due to bullying and the loss of his mother. He attempts to, but is saved. His determination to commit suicide somehow entices Sierra, a grim reaper who later offers him a contract. This contract blesses him with the ability to borrow the powers of the dead in their previous life in return of sacrificing years from his lifespan. For the sake of attaining what he wishes for, he eventually agrees to it.;;;486. The Boy of Death 50;"[{""Url"":""https://www.anime-planet.com/manga/the-boy-of-death"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";Supernatural
I am Han Sanqian;Manhua;Reading;;;;;"[{""Title"":""Wo Shi Han Sanqian"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""我是韩三千"",""Language"":null,""Source"":""Anime-Planet""}]";;"Manhua; Webtoons; Full Color; Based on a Web Novel";;69;;;;Everyone in the family that I married into three years ago thinks I'm a walking doormat. And she is the only person I give a damn about. I would give her the world if I could.;;;487. I am Han Sanqian 69;"[{""Url"":""https://www.anime-planet.com/manga/counterattack-of-the-superrich-house-husband"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Drama; Romance"
Sss-class Suicide Hunter;Manhwa;Reading;;;;Neida;"[{""Title"":""SSS-geup Jasal Hunter"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""SSS급 자살헌터"",""Language"":null,""Source"":""Anime-Planet""}]";;"Manhwa; Webtoons; Contemporary Fantasy; Dark Fantasy; Dungeon; Full Color; Game Elements; Psychological; Based on a Web Novel";;57;;8;1;Some people are just born lucky, fated to enjoy all the riches and fame, while those beneath fade into obscurity. Confucius Kim, an F-class hunter with zero skills, is definitely not one of the fortunate ones. He spends his days bemoaning his lame existence and enviously following the exploits of the star hunter Flame Emperor, for whom the mysterious, monster-filled Tower is nothing but a red carpet. Then one day, Confucius gets the chance to finally catch up to his idol when he receives the ability to copy other people’s skills. The only catch? He has to be killed by them first!;;;488. Sss-class Suicide Hunter 57 ⭐💯;"[{""Url"":""https://www.anime-planet.com/manga/sss-class-revival-hunter"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Fantasy"
Askr Yggradsil's Wood;Manga;Reading;;;;dna_s;"[{""Title"":""You Ke Sen Lin"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""尤克森林"",""Language"":null,""Source"":""Anime-Planet""}]";;"Manhua; Webtoons; Full Color";;37;;;;Exiled to a desolate and harsh planet, Ayr spends his days hunting giant monsters as his food source. Then, everything changes when a police officer comes and tells him his exile was revoked. After arriving in Askr he learns that a lot of time has passed while he was gone. 100 years. Everything seems to be different now, but one question remains: For what reason was his exile revoked after this long time?;;;489.  Askr Yggradsil's Wood 37;"[{""Url"":""https://www.anime-planet.com/manga/askr-yggdrasils-wood"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Adventure; Sci Fi"
Dao Yin;Manhua;Reading;;;;;"[{""Title"":""道印"",""Language"":null,""Source"":""Anime-Planet""}]";;"Manhua; Webtoons; Full Color";;20;;;;Jiang Xiaofan accidentally traveled to a different dimension and ended up as a beggar. He never had a chance to practice martial arts previously, but he accidentally obtained fragments of Dao Yin and inherited its secret moves. This is a journey of our hero in this trouble-filled new world!!;;;490. Dao Yin 20;"[{""Url"":""https://www.anime-planet.com/manga/dao-yin"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Adventure; Fantasy"
World's Apocalypse Online;Manhua;Reading;;;;;"[{""Title"":""Zhu Jie Mo Ri Zai Xian"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""诸界末日在线"",""Language"":null,""Source"":""Anime-Planet""}]";;"Manhua; Webtoons; Full Color; Person in a Strange World";;80;;;;As the apocalypse reigned, Gu Qingshan used his power to travel back in time before the end. Doing so lets him be connected to two worlds, giving him access to the War God System. This time around, will Gu Qingshan be able to fight against heaven's will and change his fate?;;not sure;491. World's Apocalypse Online 80?;"[{""Url"":""https://www.anime-planet.com/manga/apocalypse-online"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Adventure; Fantasy"
Return of Immortal Emperor;Manhua;Reading;;;;Palm Reading;"[{""Title"":""Xian Di Gui Lai"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""仙帝归来"",""Language"":null,""Source"":""Anime-Planet""}]";;"Manhua; Webtoons; Full Color; Pill Concocting; Based on a Web Novel";;98;;;;"Three years ago, Yun Qing Yan accidentally fell into the Immortal Realm from the Mortal Realm. After three thousand years, he became the great Emperor Yun of the Immortal Realm. Breaking through the barrier between the two realms, he discovered that only three years had passed. ""Before, I was too weak to protect my loved ones. Now, I'll make the whole world bow before me.""";;;492. Return of Immortal Emperor 98;"[{""Url"":""https://www.anime-planet.com/manga/return-of-immortal-emperor"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Adventure; Fantasy"
Library of Heaven's Path;Manhua;Reading;;;;Heng Sao Tian Ya;"[{""Title"":""Tian Dao Tu Shu Guan"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""天道图书馆"",""Language"":null,""Source"":""Anime-Planet""}]";;"Manhua; Webtoons; Cultivation; Full Color; Library; Martial Arts; Person in a Strange World; Based on a Web Novel";;125;;;;"Traversing into another world, Zhang Xuan finds himself becoming an honorable teacher. Along with his transcension, a mysterious library appears in his mind. As long as it is something he has seen, regardless of whether it is a human or an object, a book on its weaknesses will be automatically compiled in the library. Thus, he becomes formidable. ""Monarch Zhuoyang, why do you detest wearing your underwear so much? As an emperor, can't you pay a little more attention to your image?"" ""Fairy Linglong, you can always look for me if you find yourself unable to sleep at night. I am skilled in lullabies!"" This is an incredible story about teachers and students, grooming and guiding the greatest experts in the world!";;;493. Library of Heaven's Path 125;"[{""Url"":""https://www.anime-planet.com/manga/library-of-heavens-path"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Adventure; Comedy; Fantasy"
The Strong Man from the Mental Hospital;Manhua;Reading;;;;Xinfeng;"[{""Title"":""从精神病院走出的强者"",""Language"":null,""Source"":""Anime-Planet""}]";;"Manhua; Webtoons; Full Color; Hospital; Martial Arts; Mental Illness";;28;;;;In this world, monsters are getting more powerful, but no matter how strong they are, they disappear in this mental hospital. Some even lose their dignity and become food ingredients or pets. We're talking about the Green Peak Mental Hospital, which is full of talents and powerful warriors. Lin Fan, a patient with severe mental illness, acquired a system one day. He claims that he's not mentally ill. He's just a normal person who enjoys cultivation. He's only got simple hobbies like sticking wires into sockets, climbing onto electrical transformers, and standing on the roof to wave a metal stick when it thunders.;;;494. The Strong Man from the Mental Hospital 28;"[{""Url"":""https://www.anime-planet.com/manga/the-mighty-warrior-from-a-mental-hospital"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Comedy; Drama; Fantasy"
Another Emperor Reborn;Manhua;Reading;;;;;"[{""Title"":""Yi Huang Chongsheng"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""异皇重生"",""Language"":null,""Source"":""Anime-Planet""}]";;"Manhua; Full Color";;218;;;;Reiki is a resurrection, the entire world is covered by a strong aura, and creatures of the earth are affected by this. Humans experienced an account that they had stronger powers, and other creatures besides humans also evolved rapidly under the influence of Aura. Some powerful and mysterious races have appeared in silence. The legend says that the power remained: the family in another world, coincidentally, the soul of another world royal prince entered the body of a young common human, Huang Shang, and began the story of bloody and funny hegemony...;;;495. Another Emperor Reborn 218;"[{""Url"":""https://www.anime-planet.com/manga/different-kings"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Comedy; Fantasy"
True Education;Manhwa;Reading;;;;Yong-Taek CHAE;"[{""Title"":""Chamgyoyuk"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""참교육"",""Language"":null,""Source"":""Anime-Planet""}]";;"Manhwa; Webtoons; Full Color; Hiatus; School Life; Teachers; Teaching";;59;;;;Hwajin Na’s teaching techniques are pretty violent for someone who works in the Ministry of Education. That being said, when punishments don't seem to work on even the worst of school bullies, there is no better man for the job. Sometimes you can’t get a good education until those bullies are taught a lesson.;;;496. True Education 59;"[{""Url"":""https://www.anime-planet.com/manga/get-schooled"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Drama"
From the Grave and Back;Manhwa;Reading;;;;Seokho JO;"[{""Title"":""Dwikkeutjangnyeol"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""뒤끝작렬"",""Language"":null,""Source"":""Anime-Planet""}]";;"Manhwa; Webtoons; Full Color; Hiatus";;83;;;;“Hey, don’t get confused. I’ve never thought of you as my little brother. You don’t even know your right place.” That was the dagger that hurt the most. Han Myoung Woo. A child of a wealthy family with a quick mind. But god didn’t give him everything. A near incurable genetic heart disease. He did his best in order to earn the respect of the people around him. But his father, the chairman, and his family members never took him seriously. That was when an accident suddenly struck him. And… He woke up in the body of the severely injured student, Kim Cheol Min.;;;497. From the Grave and Back 83;"[{""Url"":""https://www.anime-planet.com/manga/from-the-grave-and-back"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Drama; Supernatural"
