primaryTitle;contentType;status;contentTypeId;statusId;authorId;authorName;alternativeTitles;genreIds;tags;totalChapters;currentChapterNumber;currentChapterLabel;rating;priority;description;comment;notes;rawImportedLine;links;genres
Hyulla's Race;Manga;Completed;;;;Tamrin;"[{""Title"":""혈라의 일족"",""Language"":null,""Source"":""Anime-Planet""}]";;"Ecchi; Manhwa; Webtoons; College; Full Color; Gynophobia; Vampires";117;117;;;;Jung-Woo Surh developed Gynophobia because of his trauma when he was younger. Even as a college student he is still afraid of woman, but Hae-Soo Yoon is a angel like existence for Jung-Woo because of his fear. He starts dating after thinking he could trust Hae-Soo, but while putting everything he has on line for her he falls into debt and gets cornered. After he gets betrayed by Hae-Soo the person to save him is the most beautiful girl of this college, and the famous professor Eun-Na Pi. What is this beautiful teacher after, and why did she help Jung-Woo?;;;91.Hyulla's Race 57.2 (117) ✓;"[{""Url"":""https://www.anime-planet.com/manga/hyullas-race"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Comedy; Romance"
Gun x Clover;Manga;Reading;;;;Mikoto YAMAGUCHI;"[{""Title"":""ガン×クローバー"",""Language"":null,""Source"":""Anime-Planet""}]";;"Ecchi; Harem; Shounen; Bodyguards; Mercenaries; School Life; Split Personality";;55;;;;Mikado High School trains the best students to be the best mercenary bodyguards. But Morito Hayama, a merc escort student with no rank whatsoever, is suddenly assigned to guard a person so highly valued that no escort has ever survived before. Will his subject survive the experience? Will HE survive?!;;release_frequency=~90;92.Gun x Clover 55 ~90;"[{""Url"":""https://www.anime-planet.com/manga/gun-x-clover"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Drama; Romance"
Premarital Relationship;Manhwa;Reading;;;;Tamrin;"[{""Title"":""혼전연애"",""Language"":null,""Source"":""Anime-Planet""}]";;"Manhwa; Webtoons; Full Color";;60;;;;"""Han sang-hyun"" Is a boy that dreams to become a manhwaka, and one day he hears a story that falls like lightning from a clear sky. And that is that he had a fiance he never knew about. After not being able to win against his grandfather he goes to the meeting against his will. however the lady he meets there is a girl who feels to be a rich spoiled girl named ""Yu Suh-eun"". after having a fight with a girl that acts negatively to him, he comes back to his house just to find out that Yu Suh-eun is in house!? What? The new house that the'll be staying in is the ""Marriage House""? Will han Sang-hyun and yu suh-eun break through their families plans to successfully get divorced!?";;;93.Premarital Relationship 60 ~?;"[{""Url"":""https://www.anime-planet.com/manga/premarital-relationship"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";Comedy
Hajimete no Gal;Manga;Reading;;;;Meguru UENO;"[{""Title"":""My First Girlfriend Is A Gal"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""はじめてのギャル"",""Language"":null,""Source"":""Anime-Planet""}]";;"Ecchi; Harem; Shounen; Gyaru; Romantic Comedy; School Life; Adapted to Anime";;78;;;1;"Spring. The ""season of love"" has arrived and it seems that finding himself a girlfriend was harder than Jun’ichi believed. To break the status quo, Jun’ichi’s friends have forced him into confessing to the gyaru, Yame Yukana. However, things do not go quite as he expected. His series of ""firsts"" begins!";;release_frequency=~33;94.Hajimete no Gal 78 ~33 🌟;"[{""Url"":""https://www.anime-planet.com/manga/hajimete-no-gal"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Comedy; Romance"
The Fiancées Live Together;Manhwa;Completed;;;;Dal-Young IM;"[{""Title"":""약혼자는 동거중"",""Language"":null,""Source"":""Anime-Planet""}]";;"Ecchi; Manhwa; Webtoons; Age Gap; Full Color";73;73;;;;His fiancee lost her parents so she will be living with the Hyeons, but Sang-Won is a middle school student and the fiancée is a 24 year old adult!? Sang-Won tries to deny that his fiancée is 9 years older than him, but seeing that she does not act her age, he then feels comfortable around her. His fiancée seems kind and innocent on the outside, but on the inside...;;chyba skonczone;95.The Fiancées Live Together 72.5 (73) ✓?;"[{""Url"":""https://www.anime-planet.com/manga/the-fiancees-live-together"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Comedy; Romance"
Unbalance x3;Manhwa;Reading;;;;Dal-Young IM;"[{""Title"":""언밸런스 트라이앵글"",""Language"":null,""Source"":""Anime-Planet""}]";;"Ecchi; Manhwa; Webtoons; Amnesia; Cohabitation; Full Color; Hiatus";;117;71.1;;;Taehyun Choi lives with his sister Hakyung Choi. You could say they have a normal life. On the one hand Hakyung has a good job and is successful, however Taehyun isn't good at studying. His life takes a drastic change when he accidentally learns that he and Hakyung aren't siblings. Which is why he decides to confront her, but then she suffers a serious accident and loses her memory. This is where everything will change, because those feelings of kinship will become much more important.;;release_frequency=~7;96.Unbalance x3 71.1 (117) ~7;"[{""Url"":""https://www.anime-planet.com/manga/unbalance-x-3"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Comedy; Romance"
Hero Waltz;Manhwa;Reading;;;;Penguin Juice;"[{""Title"":""히어로 왈츠"",""Language"":null,""Source"":""Anime-Planet""}]";;"Manhwa; Webtoons; Full Color; Superpowers; Tsundere";;59;54;;;"Go Sung-tae is the target of the bullies in his school... voluntarily. He is a part of a secret experiment by the government that aims to produce ""Heroes"" in hope of rivalling the other countries. Not wanting to get involved, he steers away from the prying eyes of the government by keeping a low-profile, being the ""timid"" kid. The most popular girl in his school, with a strong sense of justice decides to follow him with the intention of helping him, only to discover that he was faking his personality. (On top of that, his secret got revealed.) What will happen to Sung-tae now?";;release_frequency=~7;97.Hero Waltz 54 (59) ~7;"[{""Url"":""https://www.anime-planet.com/manga/hero-waltz"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Comedy; Romance; Sci Fi"
The Boy in the All-Girls School;Manhua;Reading;;;;;"[{""Title"":""Nuzi Xueyuan de Nansheng"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""女子学院的男生"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""Boy in A Girls' School"",""Language"":null,""Source"":""Anime-Planet""}]";;"Ecchi; Harem; Manhua; All-Girls School; Full Color; School Life; Transfer Students";;177;;;;In girls' school filled with jaw-dropping beauties, here comes a new male student!!! Perhaps in the eyes of others, this would be a dream-like paradise, but in reality, the future is completely unimaginable…;;release_frequency=~2;98.The Boy in the All-Girls School 177 ~2;"[{""Url"":""https://www.anime-planet.com/manga/the-boy-in-a-girls-academy"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";Comedy
My Japanese Sisters;Manga;Reading;;;;;"[{""Title"":""我的妹妹来自邻国"",""Language"":null,""Source"":""Anime-Planet""}]";;"Manhua; Full Color; School Life; Siblings; Based on a Novel";;26;;;1;Dad remarried suddenly, and Huo Tianlin, a high school student with a fierce appearance, got two more sisters from Japan! However, these two unexpected sisters have amazing secrets! How will Huo Tianlin get along with them? And how will two girls treat Huo Tianlin?;;release_frequency=~3;99.My Japanese Sisters 26 ~3 🌟;"[{""Url"":""https://www.anime-planet.com/manga/my-japanese-sisters"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Comedy"
Treading on Fire, Yuwen Jun!;Manhua;Reading;;;;;"[{""Title"":""赴汤蹈火宇文君"",""Language"":null,""Source"":""Anime-Planet""}]";;"Ecchi; Manhua; Webtoons; Full Color";;79;80;;;"Yuwen Jun (Cheng) came to Japan to get married because of childhood arrangement. Instead he got himself into a thrilling journey where kendo masters, detective sisters, young misses of rich families entangled with him. Yuwen Jun was stunned while facing so many unexpected incidents: ""I just came to get married...""";;release_frequency=~3;100.Treading on Fire, Yuwen Jun! 80 (79) ~3;"[{""Url"":""https://www.anime-planet.com/manga/treading-on-fire-yuwen-jun"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";Adventure
My Great Sword;Manhua;Reading;;;;;"[{""Title"":""我的大宝剑"",""Language"":null,""Source"":""Anime-Planet""}]";;"Manhua; Webtoons; Full Color";;61;;;;In the year 1838 of the First Emperor's calendar, the Tian Yuan war has ended, and a man who had crossed over to this world and was forced to fight for six years threw the great sword in his hand, and with his soul wounded and bewildered, staggered away from the devastated battlefield, wanting to explore this strange and mysterious world. Our story begins two years after he regained his freedom. However, he found that things were not so simple, the six years of war entangled him with the destiny of this new world, the Han dynasty that implemented changes, the Western powers that were watching, the martial artists that wielded imperial weapons, the gunners that manipulated machinery, the engineers that harnessed the power of steam, modified humans that were fatally armed... In this new world where the technology has developed rapidly, the civilizations of the East and West, each at its peak, are waiting for a spark to ignite a war between the two worlds. And all of this happened because of the great sword that he threw away. Like fate, he couldn't avoid it. He seemed to be cursed by the great sword he threw away... Well, or maybe it was a blessing?;;release_frequency=~2;101.My Great Sword 61 ~2;"[{""Url"":""https://www.anime-planet.com/manga/my-great-sword"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Adventure; Comedy; Drama"
I Am a Great God;Manhua;Reading;;;;Shen Si Comics;"[{""Title"":""Wo Shi Da Shenxian"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""我是大神仙"",""Language"":null,""Source"":""Anime-Planet""}]";;"Manhua; Blackmail; Cultivation; Full Color; Martial Arts; Adapted to Anime";;48;47;;;Against all odds, defeating all enemies! Behold, the 7-year-old prodigy masters his fate and becomes a great immortal!;;release_frequency=~7;102.I Am a Great God 47 (48) ~7;"[{""Url"":""https://www.anime-planet.com/manga/the-immortal-in-me"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Fantasy"
Sweet X Trouble;Manhwa;Completed;;;;Tamlin;"[{""Title"":""스위트X트러블"",""Language"":null,""Source"":""Anime-Planet""}]";;"Manhwa; Webtoons; Full Color";41;41;;;;I couldn't kill my assassination target because he's too cute, so I became his girlfriend instead.;;;103.Sweet X Trouble 41 ✓;"[{""Url"":""https://www.anime-planet.com/manga/sweet-x-trouble"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Comedy; Romance"
Ten Thousand Paths to Becoming a God;Manhua;Reading;;;;Chudao;"[{""Title"":""万道成神"",""Language"":null,""Source"":""Anime-Planet""}]";;"Manhua; Cultivation; Full Color; Based on a Novel";;19;;;;Nine regions fight for control of the world, and one shot determines everything! A young villager with a desire to get stronger starts on the slow path of cultivation...;;release_frequency=~8;104.Ten Thousand Paths to Becoming a God 19 ~8;"[{""Url"":""https://www.anime-planet.com/manga/ten-thousand-paths-to-becoming-a-god"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Adventure; Comedy; Fantasy"
Hakase to Suraimu-chan;Manga;Completed;;;;Nayuta ISAKI;"[{""Title"":""The Professor and the Slime"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""博士とスライムちゃん"",""Language"":null,""Source"":""Anime-Planet""}]";;"Webtoons; Full Color; Monsters; Non-Human Protagonists; Slimes";75;75;;;;Living with strange creatures has its ups and downs.;;;105.Hakase to Suraimu-chan 75 ✓;"[{""Url"":""https://www.anime-planet.com/manga/hakase-to-slime-chan"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Fantasy; Slice of Life"
A Story About Treating a Female Knight Who Has Never Been Treated as a Woman as a Woman;Manga;Reading;;;;Kengo MATSUMOTO;"[{""Title"":""Ima made Ichido mo Onna Atsukaisareta Koto ga nai Jokishi wo Onna Atsukai Suru"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""今まで一度も女扱いされたことがない女騎士を女扱いする漫画"",""Language"":null,""Source"":""Anime-Planet""}]";;Shounen;;64;62;;;Leo Cornelia has dedicated her entire life to the battlefield. There is no demon she can’t slay, no challenge she can’t handle—at least, not until that confounding halfwit mage Foolie Dent confesses his love to her. Nothing feels farther from her than long-discarded notions of femininity and romance, but this annoying but dependable new friend might just be the key to opening the heart she closed long ago.;;release_frequency=~8;106.A Story About Treating a Female Knight Who Has Never Been Treated as a Woman as a Woman 62 (64) ~8;"[{""Url"":""https://www.anime-planet.com/manga/how-to-treat-a-lady-knight-right"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Comedy; Fantasy; Romance"
Pashiri na Boku to Koi suru Banchou-san;Manga;Completed;;;;Ui KASHIMA;"[{""Title"":""Pashiri na Boku to Koisuru Banchou-san"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""パシリな僕と恋する番長さん"",""Language"":null,""Source"":""Anime-Planet""}]";;"Seinen; Delinquents; School Life";77;77;;;;"""Be mine."" Unoki has always been bullied, and high school is no different. Right away, the top troublemaker, Boss Toramaru, makes him her personal errand boy. The only thing is... she thought she was asking him out?! So Toramaru is sure they're dating, while Unoki is convinced he's under her thumb. The stage is set for a rom-com of misunderstandings!";;;107.Pashiri na Boku to Koi suru Banchou-san 77 ✓;"[{""Url"":""https://www.anime-planet.com/manga/i-belong-to-the-baddest-girl-at-school"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Comedy; Romance"
Raisekamika;Manga;Reading;;;;Hajime SEGAWA;"[{""Title"":""ライセカミカ"",""Language"":null,""Source"":""Anime-Planet""}]";;"Ecchi; Shounen; Demons; Gods; Japanese Mythology; Magic; Norse Mythology; Person in a Strange World";;37;26;;1;Ookuni Raise is a high school boy who was left to fend for himself by both his parents. And a transfer student girl, Mikami Kamika. Due to an unfortunate incident, Raise ended up rubbing Kamika’s breast, which in turn led to her suspicion of his being a molester. Starting from their worst encounter, the tale unfolds as they were flown into a mystical world.;;release_frequency=~13;108.Raisekamika 26 (37) ~13 🌟;"[{""Url"":""https://www.anime-planet.com/manga/raisekamika"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Comedy; Drama; Romance; Supernatural"
Do Chokkyuu Kareshi x Kanojo;Manga;Reading;;;;Nagisa FUJITA;"[{""Title"":""ド直球彼氏×彼女"",""Language"":null,""Source"":""Anime-Planet""}]";;"Shounen; Romantic Comedy; School Life";;17;16;;;Meet Shinichi Honda and Mako Wakamiya. One’s a boy, and the other’s a girl. But both don’t hesitate to say exactly what’s on their mind.;;;109.Do Chokkyuu Kareshi x Kanojo 16 (17);"[{""Url"":""https://www.anime-planet.com/manga/do-chokkyuu-kareshi-x-kanojo"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Comedy; Romance"
Ane Naru Mono;Manga;Reading;;;;Pochi IIDA;"[{""Title"":""姉なるもの"",""Language"":null,""Source"":""Anime-Planet""}]";;"Ecchi; Seinen; Deal with the Devil; Demons; Interspecies Relationship; Non-Human Protagonists; Orphans; Reverse Isekai; Based on a Doujinshi";;33;24;;;Yuu has had a rough life. After losing his parents in a car accident when he was five, he found himself bounced back and forth among relatives, with no place to truly call home. Plagued by a constant feeling of loneliness, all he wants is a little companionship, and he's about to get way more than he bargained for! Her name is Chiyo, and she'll grant Yuu one wish. The only problem: She's a demon of unimaginable power!;;release_frequency=~42;110.Ane Naru Mono 24 (33) ~42;"[{""Url"":""https://www.anime-planet.com/manga/the-elder-sister-like-one"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Comedy; Supernatural"
Mushoku Tensei: Jobless Reincarnation;Manga;Reading;;;;Rifujin na Magonote;"[{""Title"":""Mushoku Tensei: Isekai Ittara Honki Dasu"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""無職転生 ～異世界行ったら本気だす～"",""Language"":null,""Source"":""Anime-Planet""}]";;"Ecchi; Harem; Seinen; Demons; Isekai; Magic; NEET; Person in a Strange World; Reincarnation; Adapted to Anime; Based on a Light Novel";;59;53;;;Just when an unemployed thirty-four-year-old otaku reaches a dead end in life and decides that it’s time to turn over a new leaf—he gets run over by a truck and dies! Shockingly, he finds himself reborn into an infant’s body in a strange, new world of swords and magic. His new identity is Rudeus Grayrat, but he still retains the memories of his previous life. Follow Rudeus from infancy to adulthood, as he struggles to redeem himself in a wondrous yet dangerous world..;;release_frequency=~27;111.Mushoku Tensei: Jobless Reincarnation 53 (59) ~27;"[{""Url"":""https://www.anime-planet.com/manga/mushoku-tensei-jobless-reincarnation"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Adventure; Drama; Fantasy; Romance"
Nidome no Jinsei wo Isekai de;Manga;Reading;;;;Mine;"[{""Title"":""二度目の人生を異世界で"",""Language"":null,""Source"":""Anime-Planet""}]";;"Ecchi; Harem; Demons; Guilds; Isekai; Overpowered Main Characters; Person in a Strange World; Reincarnation; Based on a Light Novel";;43;32;;;When death tapped Renya Kunugi on the shoulder, he smiled and went willingly. After enjoying a nice, long life of 94 years, he was looking forward to shutting his eyes for the last time. He was, therefore, understandably upset when he woke up again in an empty space, devoid of memories, with a young girl in a tunic rambling on and on about how she's God. So, he did what any reasonable person would have done under those circumstances: he sent the girl flying with a kick to the face. It turned out that the girl was indeed God, and she was in a pinch. She urgently needed someone to do some interdimensional Resource smuggling, and Renya fit the bill. His mission: cross the boundary into another world, then chill for a few decades. God would handle the rest. The next thing he knew, he was standing in a foreign land, younger, stronger, and more clueless than ever. Will he survive this world? And more importantly, will the world survive him?;;release_frequency=~25;112.Nidome no Jinsei wo Isekai de 32 (43) ~25;"[{""Url"":""https://www.anime-planet.com/manga/new-life-young-again-in-another-world"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Adventure; Comedy; Drama; Fantasy; Romance"
Arifureta - From Commonplace to World's;Manga;Reading;;;;Ryo SHIRAKOME;"[{""Title"":""Arifureta Shokugyou de Sekai Saikyou"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""ありふれた職業で世界最強"",""Language"":null,""Source"":""Anime-Planet""}]";;"Ecchi; Harem; Dark Fantasy; Demons; Dungeon; Game Elements; Guns; Isekai; Magic; Monsters; Non-Human Protagonists; Overpowered Main Characters; Person in a Strange World; Summoned Into Another World; Adapted to Anime; Based on a Light Novel";;35;32;;1;When a classroom of students is transported to another world to act as its saviors, Hajime Nagumo finds himself the weakest link. As his friends and classmates are granted strong classes and impressive abilities due to their existing skills, he is given the weak title of Synergist. When a dungeon quest leaves him separated from his group, Hajime must discover his own talents or be left to rot in this world forever.;;release_frequency=~33;113.Arifureta - From Commonplace to World's  32 (35) ~33 🌟;"[{""Url"":""https://www.anime-planet.com/manga/arifureta-from-commonplace-to-worlds-strongest"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Adventure; Drama; Fantasy"
Evil Dragon Reincarnation;Manga;Reading;;;;Meguru SETO;"[{""Title"":""Jaryuu Tensei"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""邪竜転生"",""Language"":null,""Source"":""Anime-Planet""}]";;"Harem; Shounen; Dragons; Isekai; Magic; Non-Human Protagonists; Overpowered Main Characters; Person in a Strange World; Reincarnation; Based on a Light Novel";;22;20.2;;;"A loser salaryman who always says ""I wish I could win the lottery..."" is reincarnated into a world where he is the strongest evil dragon. He is very content to live his life in a forest with slimes that look up to him. One day, Evil king's subordinates suddenly come attacking him and cruelly kill the slimes. He gets enraged, and avenges the deaths quickly, however, decides to leave the forest in order to never have any more casualties. Weak but kind and sentimental, a former loser salaryman begins a carefree adventure fantasy!";;;114.Evil Dragon Reincarnation 20.2 (22);"[{""Url"":""https://www.anime-planet.com/manga/the-reincarnated-evil-dragon"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Adventure; Comedy; Fantasy; Romance"
Isekai Goumon Hime;Manga;Completed;;;;Keishi AYASATO;"[{""Title"":""異世界拷問姫"",""Language"":null,""Source"":""Anime-Planet""}]";;"Dark Fantasy; Demons; Isekai; Master-Servant Relationship; Person in a Strange World; Summoned Into Another World; Based on a Light Novel";15;15;11;;;"Kaito Sena's life hasn't exactly been easy. Unfortunately for him, death isn't about to get any better. Summoned by none other than Elisabeth Le Fanu, the ""Torture Princess,"" Kaito has to choose what he wants for his second life-be her butler, or die a long, painful death by torture. What is he to do but become her servant... and help her eliminate the fourteen ranked demons wreaking havoc in the world!";;;115.Isekai Goumon Hime 15  ✓;"[{""Url"":""https://www.anime-planet.com/manga/torture-princess"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Drama; Fantasy; Horror"
Tales of Wedding Rings;Manga;Reading;;;;Maybe;"[{""Title"":""Kekkon Yubiwa Monogatari"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""結婚指輪物語"",""Language"":null,""Source"":""Anime-Planet""}]";;"Ecchi; Harem; Seinen; Childhood Friends; Childhood Promise; Person in a Strange World; Prophecy; Royalty; Adapted to Anime";;49;46.5;;;When Satou's best friend, Hime, tells him that she's moving, he decides to follow. After crashing her wedding in another world, he ends up as the groom when she suddenly kisses him! Prophecy states that her husband is destined to be the Ring King-a hero of immense power who will save the world from the Abyssal King! Is Satou up for the challenge, or is his new marriage going to end before it even begins?;;release_frequency=~43;116.Tales of Wedding Rings 46.5 (49) ~43;"[{""Url"":""https://www.anime-planet.com/manga/tales-of-wedding-rings"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Adventure; Drama; Fantasy; Romance"
Parallel Paradise;Manga;Reading;;;;Lynn OKAMOTO;"[{""Title"":""パラレルパラダイス"",""Language"":null,""Source"":""Anime-Planet""}]";;"Harem; Seinen; Crossdressing; Dark Fantasy; Isekai; Person in a Strange World";;83;80;;;Tada Youta, a seemingly normal young man with a background in martial arts, has his life upended when a terrifying creature drags him into another world. He’s shocked to find himself in a land with castles and dragons and colored moons in the sky, where the only humans who roam are women! Not only is Youta the first man in this world for centuries, but his touch can activate a powerful desire within the women around him. Guided into this strange new land by a beautiful paladin, Youta is about to embark on his ultimate fantasy adventure!;;release_frequency=~10;117.Parallel Paradise 80 (83) ~10;"[{""Url"":""https://www.anime-planet.com/manga/parallel-paradise"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Adventure; Comedy; Drama; Fantasy"
World's End Harem;Manga;Reading;;;;LINK;"[{""Title"":""Shuumatsu no Harem"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""終末のハーレム"",""Language"":null,""Source"":""Anime-Planet""}]";;"Harem; Shounen; Pandemic; Post-apocalyptic; Terrorism; Adapted to Anime";;80;64.2;;;The Man-Killer Virus: a lethal disease that has eradicated 99.9% of the world's male population. Mizuhara Reito has been in cryogenic sleep for the past five years, leaving behind Tachibana Erisa, the girl of his dreams. When Reito awakens from the deep freeze, he emerges into a sex-crazed new world where he himself is the planet's most precious resource. Reito and four other male studs are given lives of luxury and one simple mission: repopulate the world by impregnating as many women as possible! All Reito wants, however, is to find his beloved Erisa who went missing three years ago. Can Reito resist temptation and find his one true love?;;release_frequency=~16;118.World's End Harem 64.2 (80) ~16;"[{""Url"":""https://www.anime-planet.com/manga/worlds-end-harem"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Drama; Romance; Sci Fi"
Apotheosis;Manhua;Reading;;;;Ranzai Studio;"[{""Title"":""Bai Lian Cheng Shen"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""百炼成神"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""Forged Success"",""Language"":null,""Source"":""Anime-Planet""}]";;"Manhua; Cultivation; Full Color; Martial Arts; Based on a Web Novel";;199;197;;1;Zen Luo, the former Young Lord of Luo family, is now a humble slave whose father died and younger sister was held in detention by a powerful sect. He has suffered so much both physically and mentally. However, his life started to get better when he found the secret Weapon Creation technique in a book of his fathers. Could the human body be a weapon? What was the mysterious force behind all this? It is a challenge from fate awaiting Zen Luo.;;release_frequency=~12;119.Apotheosis 197 (199) ~12 🌟;"[{""Url"":""https://www.anime-planet.com/manga/principles-of-heavens"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Fantasy"
High Risk Mission Therapy;Manga;Completed;;;;Ayumi NAKASHIMA;"[{""Title"":""ハイリスクミッションセラピー"",""Language"":null,""Source"":""Anime-Planet""}]";;"Ecchi; Harem; Shounen; Illness; School Life";75;75;;;;Iori Kandono is suffering from a new illness called Monderella Syndrome, thanks to which she would suddenly experience severe pain in her chest. To make the pain go away, she can either take the medicine or get a massage by a male person. One day she forgets her medicine at home and has such an attack in school, but fortunately her classmate, Edogawa, by pure chance runs into her, and it seems he's the only one who can make her pain go away!;;;120.High Risk Mission Therapy 60 (75) ✓;"[{""Url"":""https://www.anime-planet.com/manga/high-risk-mission-therapy"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Comedy; Romance"
Magika Swordsman and Summoner;Manga;Reading;;;;Mitsuki MIHARA;"[{""Title"":""Magika no Kenshi to Shoukan Maou"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""魔技科の剣士と召喚魔王"",""Language"":null,""Source"":""Anime-Planet""}]";;"Ecchi; Harem; Seinen; Magic; Magic School; School Life; Swordplay; Urban Fantasy; Based on a Light Novel";;50;;;;"Parallel to our dimension is a world filled with magic, home to a host of mystical beings and fantastical powers. Humanity has learned to harness these forces and bring forth that world's entities to do their bidding through the power of ""summoners."" Our world has never been the same. Fifteen years later, Kazuki Hayashizaki is chosen as the first male summoner. His attendance in an all-female summoner class, however, is met with opposition - and none so strongly than from his own sister, the school's most skilled swordsman. As Kazuki is torn between the way of the sword and the world of summoning, can he overcome adversity and learn to harness his new powers?";;;121.Magika Swordsman and Summoner 50;"[{""Url"":""https://www.anime-planet.com/manga/magika-swordsman-and-summoner"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Comedy; Drama; Fantasy; Romance"
Uchi no Hentai Maid ni Osowareteru;Manga;Reading;;;;saku;"[{""Title"":""うちの変態メイドに襲われてる"",""Language"":null,""Source"":""Anime-Planet""}]";;"4-koma; Ecchi; Maids; School Life";;54;45.5;;1;"Spring has come. I, Haruto, am now a fully fledged University student and live alone in an apartement. But my father suddenly send me a ""maid"" because he is afraid with my condition. The maid who came to my apartement is a huge pervert with her erotic behavior and dirty mind, and me the adolescent boy always gets assaulted by her.";;release_frequency=~4;122.Uchi no Hentai Maid ni Osowareteru 45.5 (54) ~4 🌟;"[{""Url"":""https://www.anime-planet.com/manga/uchi-no-hentai-maid-ni-osowareteru"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Comedy; Romance"
